fid,cid,PC1,PC2,PC3,PC4,PC5,PC6,percent.mt,sc_ge
HG00105,20,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.1014601881670153,0.0
HG00105,21,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.9892830200510568,0.0
HG00105,22,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.7042203463933854,0.0
HG00105,23,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.219677436857596,0.0
HG00105,24,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.35271272088749,0.0
HG00105,25,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.6318710238305587,2.0
HG00105,26,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.1644994197507632,0.0
HG00105,27,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.5106515546215756,0.0
HG00105,28,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.3289239947664457,0.0
HG00105,29,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.9014407173331318,2.0
HG00105,30,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.718255805697804,0.0
HG00105,31,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.8761056924096882,0.0
HG00105,32,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.6846882203540932,1.0
HG00105,33,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.7465388863904119,2.0
HG00105,34,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.8825971140805302,0.0
HG00105,35,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.1295347441617541,1.0
HG00105,36,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.6381972173169231,0.0
HG00105,37,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.9947013404700384,0.0
HG00105,38,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.5326325627951675,0.0
HG00105,39,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.1997153475744275,0.0
HG00105,40,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.5332460336263275,0.0
HG00105,41,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.227804797609632,2.0
HG00105,42,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.2222896704982279,0.0
HG00105,43,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.3339910214294653,0.0
HG00105,44,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.9773088944273892,0.0
HG00105,45,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.1751106209820596,0.0
HG00105,46,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.1667482148753652,0.0
HG00105,47,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.4747083077905475,0.0
HG00105,48,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.8278005075696094,0.0
HG00105,49,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.4983958733235409,0.0
HG00105,50,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.701414700908773,0.0
HG00107,51,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.6447924767942326,1.0
HG00107,52,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.4888746583987713,0.0
HG00107,53,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.3168532481465781,0.0
HG00107,54,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.9057359473309636,0.0
HG00107,55,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.8928741595835231,0.0
HG00107,56,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.2487638702554241,0.0
HG00107,57,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.1522665749984409,0.0
HG00107,58,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.5700094893366451,0.0
HG00107,59,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.1298410936063371,0.0
HG00107,60,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.3720886359419417,0.0
HG00107,61,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.6976766707648917,0.0
HG00107,62,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.63408195930322,0.0
HG00107,63,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.6568331442653438,0.0
HG00107,64,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.4323554391812069,0.0
HG00107,65,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.5386474125270684,0.0
HG00107,66,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.2893009929268176,0.0
HG00107,67,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.8328843051296917,0.0
HG00107,68,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.1215673239973604,0.0
HG00107,69,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.9183891815186386,0.0
HG00107,70,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.5782258430634539,0.0
HG00107,71,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.8952714998694898,0.0
HG00107,72,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.8824445081234605,0.0
HG00107,73,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.6786326162197338,0.0
HG00107,74,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.2582387626345017,0.0
HG00107,75,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.9093077029223718,0.0
HG00107,76,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.4824019309203277,0.0
HG00107,77,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.274062853021276,0.0
HG00107,78,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.5726248549190393,0.0
HG00107,79,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.0757348127721446,0.0
HG00107,80,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.8362267287818749,0.0
HG00107,81,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.0675643769765486,0.0
HG00107,82,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.6800196607847961,0.0
HG00107,83,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.9896820337296564,1.0
HG00107,84,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.3788512300674047,0.0
HG00107,85,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.188002386478833,0.0
HG00107,86,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.7232653998164376,0.0
HG00107,87,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.0093262675617248,0.0
HG00107,88,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.8934324356690263,0.0
HG00107,89,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.3044321208183255,0.0
HG00107,90,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.8585982183876595,0.0
HG00107,91,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.2225071698387568,0.0
HG00107,92,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.9741238702252132,0.0
HG00107,93,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.5720762400133064,0.0
HG00107,94,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.4668297688561968,0.0
HG00107,95,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.0025640479713148,0.0
HG00107,96,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.8324695229577441,0.0
HG00107,97,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.0360522572836722,0.0
HG00107,98,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.9854371000500364,0.0
HG00107,99,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.6729242531451071,0.0
HG00107,100,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.3641675062114283,0.0
HG00110,101,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.5970826995667402,0.0
HG00110,102,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.9152774038905706,0.0
HG00110,103,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.0319550032712643,0.0
HG00110,104,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.4238880498457121,0.0
HG00110,105,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.2897042183249975,0.0
HG00110,106,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.97882408447035,0.0
HG00110,107,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.9961083020284456,0.0
HG00110,108,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.6602083677967567,0.0
HG00110,109,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.641637459631275,0.0
HG00110,110,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.7970485356908039,0.0
HG00110,111,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.2017695199055186,0.0
HG00110,112,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.1513928265775553,0.0
HG00110,113,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.655466737926838,0.0
HG00110,114,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.1441993524870937,0.0
HG00110,115,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.1760097245690571,0.0
HG00110,116,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.575248909989289,0.0
HG00110,117,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.2328040395606405,0.0
HG00110,118,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.0748271111020851,0.0
HG00110,119,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.2836738263950565,0.0
HG00110,120,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.1152572295013447,0.0
HG00110,121,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.672908480372277,0.0
HG00110,122,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.620889321410205,0.0
HG00110,123,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.4786034516759725,0.0
HG00110,124,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.4485998520226576,0.0
HG00110,125,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.567754637508806,0.0
HG00110,126,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.3285874963186889,0.0
HG00110,127,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.6690279349007198,0.0
HG00110,128,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.0040128071377641,0.0
HG00110,129,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.2240155841711271,0.0
HG00110,130,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.9967260588808238,0.0
HG00110,131,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.4316517447628437,0.0
HG00110,132,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.0957863127594863,0.0
HG00110,133,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.2010294360540908,0.0
HG00110,134,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.5292986775106869,0.0
HG00110,135,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.5176669956141251,0.0
HG00110,136,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.1039918127683013,0.0
HG00110,137,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.3407473446128386,0.0
HG00110,138,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.7545363858010461,0.0
HG00110,139,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.0145560672122493,0.0
HG00110,140,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.7277331371742741,0.0
HG00110,141,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.8656936940432632,0.0
HG00110,142,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.1855684517085177,0.0
HG00110,143,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.6719104411159529,0.0
HG00110,144,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.7137089837957933,0.0
HG00110,145,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.8562987412766777,0.0
HG00110,146,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.4700649851482784,0.0
HG00110,147,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.6400249951159015,0.0
HG00110,148,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.3420733772108868,0.0
HG00110,149,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.5380069555794711,0.0
HG00110,150,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.3203522818856084,0.0
HG00111,151,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.2151219453902876,0.0
HG00111,152,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.1906740341359124,0.0
HG00111,153,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.5120973604670369,0.0
HG00111,154,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.2728599359067987,0.0
HG00111,155,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.8635706828276928,0.0
HG00111,156,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.7242432243082638,1.0
HG00111,157,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.0003576880984316,0.0
HG00111,158,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.1576344128860446,0.0
HG00111,159,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.2734741022302048,1.0
HG00111,160,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.5105468568829488,0.0
HG00111,161,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.5009145238697802,0.0
HG00111,162,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.2934829275549984,0.0
HG00111,163,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.7383193110151784,0.0
HG00111,164,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.9967997523390196,1.0
HG00111,165,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.4700254646799013,0.0
HG00111,166,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.1291818679102202,0.0
HG00111,167,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.5711107760701194,1.0
HG00111,168,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.4269077009600959,0.0
HG00111,169,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.2261704114142829,0.0
HG00111,170,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.9813427411221852,0.0
HG00111,171,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.0238031036508095,0.0
HG00111,172,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.0687628025381031,1.0
HG00111,173,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.8918929990629401,0.0
HG00111,174,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.0014465537522495,1.0
HG00111,175,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.8025521319593077,0.0
HG00111,176,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.3300147185113482,0.0
HG00111,177,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.587585647660673,0.0
HG00111,178,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.4368186876294587,0.0
HG00111,179,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.1184515581693881,0.0
HG00111,180,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.0975286636180471,1.0
HG00111,181,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.3212258933535999,0.0
HG00111,182,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.1884547749140473,1.0
HG00111,183,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.4417376434410255,0.0
HG00111,184,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.4461812794218756,0.0
HG00111,185,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.0387549055663513,0.0
HG00111,186,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.3353682875743972,0.0
HG00111,187,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.3649985836936422,1.0
HG00111,188,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.4145441680716523,0.0
HG00111,189,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.1203047822472258,0.0
HG00111,190,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.5658179789839546,0.0
HG00111,191,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.6900311825190947,0.0
HG00111,192,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.5398443867386394,0.0
HG00111,193,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.395667482224404,0.0
HG00111,194,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.1334334287326124,0.0
HG00111,195,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.6777451291682358,0.0
HG00111,196,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.6793375652877383,0.0
HG00111,197,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.8585591595857365,0.0
HG00111,198,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.5522294813742578,0.0
HG00111,199,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.0579647329695119,1.0
HG00111,200,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.3553722161283558,1.0
HG00112,201,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.1557928569564916,1.0
HG00112,202,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.3056017224811203,0.0
HG00112,203,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.8672498379463379,1.0
HG00112,204,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.3601715603759537,1.0
HG00112,205,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.492989086886039,1.0
HG00112,206,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.938614662881364,0.0
HG00112,207,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.9759487036510646,0.0
HG00112,208,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.6374542728524386,1.0
HG00112,209,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.2832656614148016,2.0
HG00112,210,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.0265856753014657,2.0
HG00112,211,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.8250161230860923,2.0
HG00112,212,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.6243383772071532,0.0
HG00112,213,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.3409492207548208,1.0
HG00112,214,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.4432082358511551,0.0
HG00112,215,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.9837737621898924,0.0
HG00112,216,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.3151861626055081,0.0
HG00112,217,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.3068396801076595,0.0
HG00112,218,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.3580207294282366,0.0
HG00112,219,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.1869604622342796,0.0
HG00112,220,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.7776934423039945,1.0
HG00112,221,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.1460391448258658,1.0
HG00112,222,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.0692215741868649,1.0
HG00112,223,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.9420084316078376,0.0
HG00112,224,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.434572726316609,1.0
HG00112,225,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.0128141856694429,1.0
HG00112,226,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.4245607657637336,0.0
HG00112,227,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.8962124021130113,0.0
HG00112,228,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.0529708315397806,1.0
HG00112,229,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.7828467667244954,0.0
HG00112,230,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.731553643919541,0.0
HG00112,231,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.4899567991497811,1.0
HG00112,232,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.5787448307470767,0.0
HG00112,233,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.8517637915438445,1.0
HG00112,234,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.0364071943252574,0.0
HG00112,235,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.6789729561958047,0.0
HG00112,236,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.5077055757332826,0.0
HG00112,237,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.8708931621562037,0.0
HG00112,238,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.2694460468074496,1.0
HG00112,239,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.572211055598916,0.0
HG00112,240,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.9451490049095714,0.0
HG00112,241,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.962391563381646,0.0
HG00112,242,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.2016585215183327,0.0
HG00112,243,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.0329624738521034,1.0
HG00112,244,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.4604681577985176,1.0
