fid,iid,cid,PC1,PC2,PC3,PC4,PC5,PC6,percent.mt,CDC37
HG01746,HG01746,19,0.16932,-0.0605708,-0.172988,-0.0249108,0.0631046,-0.360374,0.9306547078969778,0.0
NA20514,NA20514,20,0.175195,0.0122437,-0.0332475,0.0776564,0.0712866,-0.0487785,0.926310439783672,0.0
HG00362,HG00362,21,0.100662,-0.036772,0.0339203,-0.191777,0.182583,0.179047,0.8859238209942281,0.0
HG01632,HG01632,22,-0.0531314,-0.0203435,-0.0947652,-0.18987,0.0475628,0.0545391,0.7597767002052721,0.0
NA20812,NA20812,23,-0.0490135,0.0341235,-0.122448,-0.121843,0.133749,-0.0561693,0.6956103654815604,0.0
HG00183,HG00183,24,0.0390293,0.0493622,-0.283514,0.088995,-0.0557012,-0.271591,0.533933564388982,0.0
HG00350,HG00350,25,-0.0438771,-0.090341,0.0601135,0.00485814,-0.113182,0.0286259,0.5073717138592325,0.0
HG01785,HG01785,26,-0.0835305,0.0647057,0.043122,0.0432942,-0.0428764,0.0347841,0.8006269972952932,1.0
HG01625,HG01625,27,-0.0427423,-0.106628,0.0379249,-0.0258646,0.00684457,-0.114104,0.322175887429295,0.0
HG00112,HG00112,28,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.3151861626055081,0.0
NA20525,NA20525,29,-0.0604244,-0.146875,0.0497016,0.169142,0.0318099,0.0778058,0.2790433223366906,1.0
HG01518,HG01518,30,0.00838976,0.0732582,0.116506,0.0385673,0.0729714,0.0457922,0.8981186733588877,0.0
HG00105,HG00105,31,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.4747083077905475,0.0
NA20525,NA20525,32,-0.0604244,-0.146875,0.0497016,0.169142,0.0318099,0.0778058,0.1777101147746607,1.0
HG00361,HG00361,33,-0.0115588,-0.0778735,0.00329085,0.00198179,-0.0771276,0.152914,0.2591121002261597,0.0
NA12342,NA12342,34,-0.0918455,-0.0227421,-0.1557,-0.0499163,0.092139,0.0714606,0.6623286421751029,0.0
HG00107,HG00107,35,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.0360522572836722,0.0
NA20527,NA20527,36,-0.0535579,-0.130478,0.0903802,0.185125,0.0194621,-0.0440233,0.7164360219038435,0.0
HG00243,HG00243,37,-0.0168739,0.0768952,-0.00292851,-0.0261252,-0.044684,0.100262,0.4045385984262027,0.0
HG00110,HG00110,38,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.7970485356908039,0.0
HG00379,HG00379,39,-0.0550815,0.00508993,0.0246167,0.0694473,-0.0409467,0.0480571,0.1117218719038534,0.0
HG01521,HG01521,40,-0.0350089,-0.0477871,0.0565616,-0.123681,0.0320267,-0.118881,0.2233675353876685,0.0
HG00285,HG00285,41,0.0691834,-0.0880445,0.0973072,0.144263,0.196017,0.0639145,0.1719791852434582,0.0
NA20587,NA20587,42,-0.0655376,-0.0169823,-0.205379,-0.0807323,0.0621147,0.0205377,0.9818628855148834,0.0
HG01678,HG01678,43,-0.0569931,-0.0415254,0.0622392,-0.0242724,-0.0817304,0.00388884,0.5112528208257975,0.0
HG01757,HG01757,44,0.0166321,0.19066,0.0411253,-0.0180006,0.010614,-0.0325474,0.9909119492059216,0.0
NA12004,NA12004,45,-0.0578375,-0.0123527,0.108871,-0.0423192,-0.030312,-0.0295321,0.8857811872828314,0.0
HG01516,HG01516,46,0.275368,-0.0250241,-0.0207564,-0.101836,-0.114255,0.123375,0.4850298840570852,0.0
HG00173,HG00173,47,-0.0547659,-0.121379,-0.00686053,-0.104077,0.00537518,0.146382,0.4355767771340844,1.0
NA12004,NA12004,48,-0.0578375,-0.0123527,0.108871,-0.0423192,-0.030312,-0.0295321,0.4045396803623521,0.0
NA06986,NA06986,49,-0.0920515,0.0923333,-0.0699762,-0.106664,0.0352197,0.111829,0.4138919670404565,0.0
HG00107,HG00107,50,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.188002386478833,0.0
HG01630,HG01630,51,-0.0463429,-0.0514446,0.0167619,0.186189,-0.034876,-0.000161664,0.4475495816918401,0.0
NA20506,NA20506,52,-0.0349814,-0.114181,0.115726,-0.0489657,0.0491253,-0.0383884,0.6432451327684122,0.0
NA20812,NA20812,53,-0.0490135,0.0341235,-0.122448,-0.121843,0.133749,-0.0561693,0.709249347235706,2.0
NA11920,NA11920,54,0.154122,-0.0142864,0.0476777,0.0931472,0.05589,0.0874918,0.0274090127955151,0.0
NA12154,NA12154,55,-0.0616887,-0.0467905,0.0665983,0.0234178,-0.00023094,0.00283652,0.8749375954826429,1.0
NA11831,NA11831,56,-0.0544425,-0.044699,0.0587276,0.153569,-0.0922498,0.041876,0.1020744216390469,0.0
HG01777,HG01777,57,-0.0244176,0.00694426,0.0988583,-0.11504,-0.000977297,-0.043182,0.6986023426435047,1.0
HG01615,HG01615,58,-0.077007,0.0942175,0.00732509,-0.0569762,-0.103013,0.0928592,0.5747488365727533,2.0
NA11892,NA11892,59,-0.02721,0.00699779,0.0682383,0.0874065,-0.0778205,-0.0551543,0.5466500527043971,0.0
HG00149,HG00149,60,-0.0854448,0.113881,0.0392969,-0.00987574,0.0650653,-0.0853253,0.1106252719889316,1.0
NA20507,NA20507,61,-0.0817298,0.149318,0.0462333,-0.0325454,0.000331279,-0.0731193,0.2656410211361621,0.0
HG01632,HG01632,62,-0.0531314,-0.0203435,-0.0947652,-0.18987,0.0475628,0.0545391,0.2242913001871375,0.0
HG00119,HG00119,63,0.0221989,-0.0245169,0.032194,-0.000922455,-0.0802616,0.0225189,0.2348996909142161,0.0
HG00244,HG00244,64,-0.0673212,0.0153288,0.104511,0.00960455,0.0934578,-0.142927,0.8427997415929073,1.0
NA20506,NA20506,65,-0.0349814,-0.114181,0.115726,-0.0489657,0.0491253,-0.0383884,0.0268227367059545,0.0
HG00278,HG00278,66,0.0916658,-0.21638,0.00920549,-0.160787,-0.209785,-0.15798,0.1465761036222039,0.0
HG00308,HG00308,67,-0.0817021,0.0931623,-0.112903,0.0716068,-0.00341533,0.164967,0.0869827946700794,1.0
HG01680,HG01680,68,-0.0325225,-0.0322554,-0.0271042,0.0569523,-0.140193,0.0208776,0.5493123412997887,1.0
HG01521,HG01521,69,-0.0350089,-0.0477871,0.0565616,-0.123681,0.0320267,-0.118881,0.5195533368040659,0.0
HG00243,HG00243,70,-0.0168739,0.0768952,-0.00292851,-0.0261252,-0.044684,0.100262,0.7211691249072402,0.0
HG01757,HG01757,71,0.0166321,0.19066,0.0411253,-0.0180006,0.010614,-0.0325474,0.9479144252477424,1.0
NA11831,NA11831,72,-0.0544425,-0.044699,0.0587276,0.153569,-0.0922498,0.041876,0.6321237810771443,0.0
HG01680,HG01680,73,-0.0325225,-0.0322554,-0.0271042,0.0569523,-0.140193,0.0208776,0.3340475541693612,1.0
HG00111,HG00111,74,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.8585591595857365,0.0
HG00371,HG00371,75,0.279181,0.0181408,0.0292064,0.00501127,0.19155,0.284802,0.3056028701476864,0.0
HG00111,HG00111,76,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.1906740341359124,0.0
HG00129,HG00129,77,-0.0485976,-0.00237654,0.086968,-0.108024,0.00436165,-0.0286327,0.1029796552435746,0.0
HG00111,HG00111,78,-0.0167236,-0.044247,0.0953901,-0.162347,0.123577,-0.145526,0.587585647660673,0.0
HG00350,HG00350,79,-0.0438771,-0.090341,0.0601135,0.00485814,-0.113182,0.0286259,0.3352334689972972,0.0
NA06986,NA06986,80,-0.0920515,0.0923333,-0.0699762,-0.106664,0.0352197,0.111829,0.6263676620568867,0.0
HG00361,HG00361,81,-0.0115588,-0.0778735,0.00329085,0.00198179,-0.0771276,0.152914,0.281062974671465,0.0
HG00107,HG00107,82,0.166713,-0.0361151,0.123985,0.17223,0.103473,-0.0464029,0.8928741595835231,0.0
HG00362,HG00362,83,0.100662,-0.036772,0.0339203,-0.191777,0.182583,0.179047,0.4699145008341654,1.0
HG01521,HG01521,84,-0.0350089,-0.0477871,0.0565616,-0.123681,0.0320267,-0.118881,0.5853626064795516,0.0
HG00244,HG00244,85,-0.0673212,0.0153288,0.104511,0.00960455,0.0934578,-0.142927,0.1971477609959094,1.0
NA20800,NA20800,86,-0.0581381,0.0681006,-0.107146,0.0384945,0.0477333,-0.0850277,0.6710911755808826,0.0
NA12761,NA12761,87,-0.0721329,0.0635604,0.112819,-3.41985e-05,-0.00318633,-0.0396784,0.7267057481479868,0.0
HG00243,HG00243,88,-0.0168739,0.0768952,-0.00292851,-0.0261252,-0.044684,0.100262,0.9313406314025664,0.0
NA12154,NA12154,89,-0.0616887,-0.0467905,0.0665983,0.0234178,-0.00023094,0.00283652,0.6944698119929242,1.0
HG01632,HG01632,90,-0.0531314,-0.0203435,-0.0947652,-0.18987,0.0475628,0.0545391,0.3117801957351104,0.0
NA20527,NA20527,91,-0.0535579,-0.130478,0.0903802,0.185125,0.0194621,-0.0440233,0.1751440626922157,0.0
HG00285,HG00285,92,0.0691834,-0.0880445,0.0973072,0.144263,0.196017,0.0639145,0.831039293346927,0.0
HG00112,HG00112,93,-0.0649857,-0.0721975,0.0930989,0.096849,0.102201,-0.0109156,0.3056017224811203,0.0
HG00306,HG00306,94,0.0471372,-0.213574,-0.0108543,0.123529,-0.171049,-0.00950166,0.1649238375075299,1.0
NA11840,NA11840,95,-0.0724317,0.12983,0.0917499,-0.0542542,-0.0543718,-0.0639938,0.285416935550799,0.0
HG01615,HG01615,96,-0.077007,0.0942175,0.00732509,-0.0569762,-0.103013,0.0928592,0.1699934777960573,0.0
NA20506,NA20506,97,-0.0349814,-0.114181,0.115726,-0.0489657,0.0491253,-0.0383884,0.7325701474275554,1.0
HG00271,HG00271,98,0.0110848,0.0276034,-0.0125053,0.177449,-0.210184,0.0173064,0.3883626130890286,0.0
HG00244,HG00244,99,-0.0673212,0.0153288,0.104511,0.00960455,0.0934578,-0.142927,0.2566624988708728,0.0
HG00306,HG00306,100,0.0471372,-0.213574,-0.0108543,0.123529,-0.171049,-0.00950166,0.9242251275298056,1.0
HG00372,HG00372,101,0.0259017,0.0522414,-0.0879479,-0.0942237,-0.233828,-0.0432775,0.2448420516850961,0.0
HG00285,HG00285,102,0.0691834,-0.0880445,0.0973072,0.144263,0.196017,0.0639145,0.8115995823448108,0.0
NA20752,NA20752,103,-0.0589119,0.000330428,-0.127867,0.126514,-0.0160082,0.0971169,0.4301023451396982,0.0
HG01700,HG01700,104,-0.080625,-0.0932277,-0.303972,-0.0140706,0.256449,-0.0508315,0.4368539563782319,1.0
HG00244,HG00244,105,-0.0673212,0.0153288,0.104511,0.00960455,0.0934578,-0.142927,0.8068165379158414,0.0
NA12717,NA12717,106,-0.0517463,-0.101771,0.0393673,0.0851803,-0.0545942,0.104938,0.9489563812350408,2.0
HG00149,HG00149,107,-0.0854448,0.113881,0.0392969,-0.00987574,0.0650653,-0.0853253,0.2504105743730258,0.0
HG00335,HG00335,108,-0.0696134,0.116788,0.0576217,0.00498598,0.0176672,-0.0125792,0.7855342507907136,0.0
NA07357,NA07357,109,0.240723,-0.016191,0.0865395,-0.0537512,-0.0165444,-0.189756,0.3425130624087834,1.0
NA12830,NA12830,110,-0.076611,0.178561,0.0489977,-0.0399268,-0.0109122,-0.0855241,0.0047303037551174,0.0
NA11994,NA11994,111,-0.0859042,0.013716,-0.0115337,0.094445,0.0541684,0.0293255,0.8507771933949405,0.0
HG01777,HG01777,112,-0.0244176,0.00694426,0.0988583,-0.11504,-0.000977297,-0.043182,0.0840126245836779,1.0
HG01630,HG01630,113,-0.0463429,-0.0514446,0.0167619,0.186189,-0.034876,-0.000161664,0.2399093874221848,0.0
NA11831,NA11831,114,-0.0544425,-0.044699,0.0587276,0.153569,-0.0922498,0.041876,0.4669946100382272,0.0
HG01518,HG01518,115,0.00838976,0.0732582,0.116506,0.0385673,0.0729714,0.0457922,0.3996638036532909,0.0
HG00244,HG00244,116,-0.0673212,0.0153288,0.104511,0.00960455,0.0934578,-0.142927,0.2088828784018594,0.0
NA12761,NA12761,117,-0.0721329,0.0635604,0.112819,-3.41985e-05,-0.00318633,-0.0396784,0.1618375926743259,0.0
NA20832,NA20832,118,0.0156503,-0.0859207,-0.368896,0.0170902,0.111468,0.096163,0.7231013647986471,0.0
HG00173,HG00173,119,-0.0547659,-0.121379,-0.00686053,-0.104077,0.00537518,0.146382,0.5716638416617481,1.0
NA20531,NA20531,120,-0.0383943,0.0448953,-0.21774,-0.0823379,-0.0598276,0.0214,0.6822669772974648,0.0
HG00310,HG00310,121,-0.0923398,0.129945,0.0317511,0.0836995,-0.0820364,0.0789914,0.7093939036033772,0.0
HG00260,HG00260,122,0.157644,0.235508,0.0556165,0.0111107,-0.000892953,-0.0152822,0.99837773245416,1.0
HG01746,HG01746,123,0.16932,-0.0605708,-0.172988,-0.0249108,0.0631046,-0.360374,0.3645266934366086,0.0
HG01615,HG01615,124,-0.077007,0.0942175,0.00732509,-0.0569762,-0.103013,0.0928592,0.3698366108431133,0.0
NA11995,NA11995,125,0.0145378,-0.193289,0.0523685,-0.156135,-0.0432029,0.113223,0.6238896535883227,0.0
HG01694,HG01694,126,0.23687,-0.0583204,-0.0790984,0.0770998,-0.0200624,0.0370989,0.5048519841820134,0.0
HG01694,HG01694,127,0.23687,-0.0583204,-0.0790984,0.0770998,-0.0200624,0.0370989,0.5222838657169817,0.0
HG00185,HG00185,128,-0.072628,-0.0267712,0.0185884,0.0354522,0.139574,-0.172012,0.4591238666961303,0.0
HG00271,HG00271,129,0.0110848,0.0276034,-0.0125053,0.177449,-0.210184,0.0173064,0.6840687605269823,0.0
HG01699,HG01699,130,-0.095075,0.142955,-0.0189163,-0.014877,0.0473177,0.01698,0.8539460467374682,0.0
HG02239,HG02239,131,-0.067103,0.0966702,0.020019,-0.109488,-0.0673061,0.0148621,0.7525228067979047,0.0
HG01757,HG01757,132,0.0166321,0.19066,0.0411253,-0.0180006,0.010614,-0.0325474,0.0060449725841065,1.0
HG00183,HG00183,133,0.0390293,0.0493622,-0.283514,0.088995,-0.0557012,-0.271591,0.3821475393453293,0.0
HG01679,HG01679,134,0.12125,0.0567451,-0.013786,0.015252,0.249288,-0.0552859,0.7783841915027538,0.0
NA12058,NA12058,135,-0.0616015,0.0480476,0.0478979,-0.0783481,-0.0443173,0.042133,0.8236383681692312,0.0
HG00119,HG00119,136,0.0221989,-0.0245169,0.032194,-0.000922455,-0.0802616,0.0225189,0.5922674631222705,0.0
NA20514,NA20514,137,0.175195,0.0122437,-0.0332475,0.0776564,0.0712866,-0.0487785,0.4891810136083231,1.0
HG00257,HG00257,138,0.226051,0.178814,-0.0190135,0.104823,-0.135627,-0.00680127,0.2356344007064109,0.0
NA20507,NA20507,139,-0.0817298,0.149318,0.0462333,-0.0325454,0.000331279,-0.0731193,0.0945829205195303,0.0
NA20767,NA20767,140,0.0473759,-0.0643776,-0.0161766,-0.238835,-0.195075,-0.0915127,0.6174559748601995,0.0
NA12286,NA12286,141,-0.0349643,0.0405583,0.0913459,0.0372232,0.110179,-0.0444328,0.892861157765552,0.0
HG00310,HG00310,142,-0.0923398,0.129945,0.0317511,0.0836995,-0.0820364,0.0789914,0.8275037549886869,1.0
HG00185,HG00185,143,-0.072628,-0.0267712,0.0185884,0.0354522,0.139574,-0.172012,0.6807829445878204,0.0
NA20832,NA20832,144,0.0156503,-0.0859207,-0.368896,0.0170902,0.111468,0.096163,0.1600120393337473,1.0
HG00366,HG00366,145,-0.0667231,-0.0450772,-0.0374235,0.152762,0.112587,-0.0854718,0.509726544321025,0.0
HG01679,HG01679,146,0.12125,0.0567451,-0.013786,0.015252,0.249288,-0.0552859,0.7739577603405647,0.0
NA20832,NA20832,147,0.0156503,-0.0859207,-0.368896,0.0170902,0.111468,0.096163,0.1809287795825223,0.0
NA20815,NA20815,148,0.213486,-0.00425593,-0.16849,-0.000945029,-0.115203,0.087417,0.351348025069106,1.0
HG00337,HG00337,149,0.130059,-0.167487,0.0361777,-0.157907,0.0120185,0.0597766,0.9928953759382404,0.0
HG00362,HG00362,150,0.100662,-0.036772,0.0339203,-0.191777,0.182583,0.179047,0.9579504248801964,0.0
HG00335,HG00335,151,-0.0696134,0.116788,0.0576217,0.00498598,0.0176672,-0.0125792,0.0332618349698605,1.0
NA20752,NA20752,152,-0.0589119,0.000330428,-0.127867,0.126514,-0.0160082,0.0971169,0.6897769948692852,1.0
HG02215,HG02215,153,-0.0334996,-0.166664,0.0531433,0.0656982,0.0346214,0.0314092,0.819987205839684,0.0
HG01781,HG01781,154,0.199429,-0.0480964,0.136584,-0.139517,0.116816,-0.020169,0.4058544120731255,0.0
HG01632,HG01632,155,-0.0531314,-0.0203435,-0.0947652,-0.18987,0.0475628,0.0545391,0.6714798332599029,0.0
HG00235,HG00235,156,0.0702569,0.0543347,-0.210826,0.0834999,-0.285695,-0.195144,0.2994534567717667,1.0
HG01521,HG01521,157,-0.0350089,-0.0477871,0.0565616,-0.123681,0.0320267,-0.118881,0.0241902510943271,1.0
NA12761,NA12761,158,-0.0721329,0.0635604,0.112819,-3.41985e-05,-0.00318633,-0.0396784,0.206888978818067,2.0
HG00365,HG00365,159,-0.0738082,0.0718821,0.0154645,0.115498,-0.0636203,0.152563,0.024347455509414,0.0
NA11920,NA11920,160,0.154122,-0.0142864,0.0476777,0.0931472,0.05589,0.0874918,0.3253849515678161,1.0
NA06986,NA06986,161,-0.0920515,0.0923333,-0.0699762,-0.106664,0.0352197,0.111829,0.6863628232121289,1.0
NA12717,NA12717,162,-0.0517463,-0.101771,0.0393673,0.0851803,-0.0545942,0.104938,0.1182250680851574,0.0
HG00362,HG00362,163,0.100662,-0.036772,0.0339203,-0.191777,0.182583,0.179047,0.694968030400163,0.0
HG01615,HG01615,164,-0.077007,0.0942175,0.00732509,-0.0569762,-0.103013,0.0928592,0.4971105398323984,0.0
NA20800,NA20800,165,-0.0581381,0.0681006,-0.107146,0.0384945,0.0477333,-0.0850277,0.6400917747673253,0.0
NA12342,NA12342,166,-0.0918455,-0.0227421,-0.1557,-0.0499163,0.092139,0.0714606,0.3126462834896841,0.0
HG00110,HG00110,167,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.2240155841711271,0.0
HG00308,HG00308,168,-0.0817021,0.0931623,-0.112903,0.0716068,-0.00341533,0.164967,0.6504862399048099,0.0
NA20525,NA20525,169,-0.0604244,-0.146875,0.0497016,0.169142,0.0318099,0.0778058,0.6922301929196538,3.0
HG01678,HG01678,170,-0.0569931,-0.0415254,0.0622392,-0.0242724,-0.0817304,0.00388884,0.9830072712347324,1.0
HG00350,HG00350,171,-0.0438771,-0.090341,0.0601135,0.00485814,-0.113182,0.0286259,0.2057564246522673,0.0
NA12342,NA12342,172,-0.0918455,-0.0227421,-0.1557,-0.0499163,0.092139,0.0714606,0.4658320039326952,0.0
HG01625,HG01625,173,-0.0427423,-0.106628,0.0379249,-0.0258646,0.00684457,-0.114104,0.8026752860468457,0.0
HG00350,HG00350,174,-0.0438771,-0.090341,0.0601135,0.00485814,-0.113182,0.0286259,0.6169373734431695,0.0
NA12282,NA12282,175,-0.0689231,0.112057,0.0689753,-0.120515,-0.0528392,0.0452239,0.5865451442754843,1.0
HG00118,HG00118,176,-0.0199218,0.0961853,0.0194594,-0.0229203,0.0108803,-0.188245,0.516685076935177,0.0
NA11994,NA11994,177,-0.0859042,0.013716,-0.0115337,0.094445,0.0541684,0.0293255,0.9466873855482854,1.0
HG01679,HG01679,178,0.12125,0.0567451,-0.013786,0.015252,0.249288,-0.0552859,0.3154388377117739,0.0
HG01679,HG01679,179,0.12125,0.0567451,-0.013786,0.015252,0.249288,-0.0552859,0.7758201003385221,1.0
NA20767,NA20767,180,0.0473759,-0.0643776,-0.0161766,-0.238835,-0.195075,-0.0915127,0.9337455367356402,0.0
HG01625,HG01625,181,-0.0427423,-0.106628,0.0379249,-0.0258646,0.00684457,-0.114104,0.3691300014487918,0.0
HG01516,HG01516,182,0.275368,-0.0250241,-0.0207564,-0.101836,-0.114255,0.123375,0.2256033519529763,0.0
HG01615,HG01615,183,-0.077007,0.0942175,0.00732509,-0.0569762,-0.103013,0.0928592,0.7692085897859504,0.0
HG01518,HG01518,184,0.00838976,0.0732582,0.116506,0.0385673,0.0729714,0.0457922,0.47654387595517,0.0
HG01516,HG01516,185,0.275368,-0.0250241,-0.0207564,-0.101836,-0.114255,0.123375,0.2679549919292582,1.0
HG01700,HG01700,186,-0.080625,-0.0932277,-0.303972,-0.0140706,0.256449,-0.0508315,0.3102384253665755,0.0
HG00235,HG00235,187,0.0702569,0.0543347,-0.210826,0.0834999,-0.285695,-0.195144,0.8831473074865747,0.0
HG00244,HG00244,188,-0.0673212,0.0153288,0.104511,0.00960455,0.0934578,-0.142927,0.3765599344252225,0.0
NA20752,NA20752,189,-0.0589119,0.000330428,-0.127867,0.126514,-0.0160082,0.0971169,0.2751751933043942,1.0
HG00365,HG00365,190,-0.0738082,0.0718821,0.0154645,0.115498,-0.0636203,0.152563,0.9954568545494308,0.0
HG00235,HG00235,191,0.0702569,0.0543347,-0.210826,0.0834999,-0.285695,-0.195144,0.5271463010937464,0.0
HG01699,HG01699,192,-0.095075,0.142955,-0.0189163,-0.014877,0.0473177,0.01698,0.8127288092189534,0.0
HG00362,HG00362,193,0.100662,-0.036772,0.0339203,-0.191777,0.182583,0.179047,0.3654700231006892,1.0
NA12154,NA12154,194,-0.0616887,-0.0467905,0.0665983,0.0234178,-0.00023094,0.00283652,0.5635402547497853,2.0
HG01694,HG01694,195,0.23687,-0.0583204,-0.0790984,0.0770998,-0.0200624,0.0370989,0.4737577374756185,0.0
HG00285,HG00285,196,0.0691834,-0.0880445,0.0973072,0.144263,0.196017,0.0639145,0.2932256463455462,0.0
HG01518,HG01518,197,0.00838976,0.0732582,0.116506,0.0385673,0.0729714,0.0457922,0.4194255867331333,0.0
HG01781,HG01781,198,0.199429,-0.0480964,0.136584,-0.139517,0.116816,-0.020169,0.8878634440135409,0.0
HG00308,HG00308,199,-0.0817021,0.0931623,-0.112903,0.0716068,-0.00341533,0.164967,0.9848908657665028,0.0
HG01680,HG01680,200,-0.0325225,-0.0322554,-0.0271042,0.0569523,-0.140193,0.0208776,0.225081917051868,0.0
HG01679,HG01679,201,0.12125,0.0567451,-0.013786,0.015252,0.249288,-0.0552859,0.112573283559193,0.0
HG01679,HG01679,202,0.12125,0.0567451,-0.013786,0.015252,0.249288,-0.0552859,0.6813823561781741,1.0
NA20800,NA20800,203,-0.0581381,0.0681006,-0.107146,0.0384945,0.0477333,-0.0850277,0.645562460645084,0.0
HG00371,HG00371,204,0.279181,0.0181408,0.0292064,0.00501127,0.19155,0.284802,0.250152137303389,0.0
NA11933,NA11933,205,-0.0902288,0.110925,-0.0501546,0.0727031,0.0160781,0.110045,0.9875311238185116,1.0
NA20515,NA20515,206,-0.0407623,-0.151595,0.122369,-0.101398,-0.0282697,-0.0777949,0.3602141473775561,0.0
NA11994,NA11994,207,-0.0859042,0.013716,-0.0115337,0.094445,0.0541684,0.0293255,0.4176390241175329,0.0
HG00183,HG00183,208,0.0390293,0.0493622,-0.283514,0.088995,-0.0557012,-0.271591,0.2813434239392852,0.0
HG01516,HG01516,209,0.275368,-0.0250241,-0.0207564,-0.101836,-0.114255,0.123375,0.6634987674847136,0.0
HG00366,HG00366,210,-0.0667231,-0.0450772,-0.0374235,0.152762,0.112587,-0.0854718,0.3952682786600735,0.0
HG00183,HG00183,211,0.0390293,0.0493622,-0.283514,0.088995,-0.0557012,-0.271591,0.3278389999934258,1.0
HG01700,HG01700,212,-0.080625,-0.0932277,-0.303972,-0.0140706,0.256449,-0.0508315,0.248539636145376,1.0
NA12717,NA12717,213,-0.0517463,-0.101771,0.0393673,0.0851803,-0.0545942,0.104938,0.7742614021817487,1.0
HG00373,HG00373,214,-0.0546293,-0.0768373,-0.114226,0.043957,0.180217,-0.166841,0.2333576585089964,0.0
NA20531,NA20531,215,-0.0383943,0.0448953,-0.21774,-0.0823379,-0.0598276,0.0214,0.6286113439383193,0.0
NA12058,NA12058,216,-0.0616015,0.0480476,0.0478979,-0.0783481,-0.0443173,0.042133,0.2817596853942576,0.0
NA20525,NA20525,217,-0.0604244,-0.146875,0.0497016,0.169142,0.0318099,0.0778058,0.0019917233319943,1.0
NA12761,NA12761,218,-0.0721329,0.0635604,0.112819,-3.41985e-05,-0.00318633,-0.0396784,0.6060509860894363,0.0
HG01697,HG01697,219,0.0477548,-0.19984,0.0157704,0.108891,-0.170609,-0.0180724,0.701809070926982,0.0
NA11933,NA11933,220,-0.0902288,0.110925,-0.0501546,0.0727031,0.0160781,0.110045,0.9816763893665116,1.0
HG00110,HG00110,221,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.620889321410205,0.0
NA06994,NA06994,222,-0.0753484,-0.0128205,-0.0901066,0.115616,0.134931,0.0329246,0.9822358175070688,1.0
HG00362,HG00362,223,0.100662,-0.036772,0.0339203,-0.191777,0.182583,0.179047,0.1861831702750788,1.0
HG00173,HG00173,224,-0.0547659,-0.121379,-0.00686053,-0.104077,0.00537518,0.146382,0.790637619527381,1.0
NA20752,NA20752,225,-0.0589119,0.000330428,-0.127867,0.126514,-0.0160082,0.0971169,0.5124802768598876,1.0
